Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Young,Male,Rent,Single,Close,27100,1,Low,12,26.8
Young,Male,Rent,Married,Far,60300,1,None,6,125.2
Young,Female,Rent,Single,Close,12000,0,Low,6,14
Middle,Female,Own,Single,Close,48400,0,Medium,12,99.2
Middle,Male,Rent,Single,Close,45600,0,Medium,18,138.8
Middle,Female,Own,Single,Close,35200,2,Low,6,23.3
Middle,Male,Rent,Single,Far,60200,0,High,24,230.4
Middle,Female,Rent,Married,Far,53900,1,High,18,217.7
Middle,Male,Own,Married,Close,70400,2,None,12,112.7
Young,Male,Rent,Married,Close,36900,0,Medium,18,72.1
Old,Female,Own,Single,Close,36100,0,Medium,12,43.8
Young,Female,Rent,Single,Close,11000,2,None,18,39.3
Middle,Male,Own,Single,Close,61600,0,None,18,166.6
Middle,Male,Own,Married,Close,88700,1,None,18,244.8
Middle,Female,Own,Married,Far,88600,1,High,18,256.3
Middle,Male,Rent,Married,Close,79500,0,High,18,176.3
Young,Female,Rent,Single,Close,18900,1,Low,6,18.4
Old,Female,Own,Single,Close,17300,0,Low,6,16.6
Middle,Female,Rent,Married,Close,81400,2,None,6,101.4
Young,Male,Rent,Married,Close,36500,0,Medium,24,114
Middle,Female,Own,Single,Close,43300,1,None,18,102.1
Middle,Male,Own,Married,Close,76700,1,Medium,24,143.1
Middle,Male,Own,Married,Far,123000,1,High,24,587.8
Middle,Male,Own,Single,Close,56300,3,Low,6,32.1
Middle,Male,Own,Married,Close,70000,0,High,24,197.4
Middle,Male,Own,Single,Close,48100,0,Medium,18,164
Young,Female,Rent,Married,Close,79400,0,None,6,117.5
Middle,Female,Own,Married,Close,63700,3,Low,12,36.4
Young,Male,Rent,Single,Close,21200,0,None,12,41.7
Middle,Male,Rent,Single,Close,53900,0,Medium,12,106
Old,Female,Own,Married,Close,118800,0,High,18,217.6
Middle,Female,Own,Married,Close,79400,3,Low,6,20
Old,Female,Rent,Single,Far,20400,0,None,24,51.3
Middle,Male,Rent,Single,Close,52400,0,None,18,85.7
Old,Female,Own,Single,Close,17600,0,Low,6,22.4
Young,Male,Rent,Single,Close,23500,0,Low,12,37.1
Young,Male,Rent,Married,Close,56900,2,Low,12,68.7
Middle,Male,Own,Married,Close,95100,2,Medium,12,80.9
Middle,Male,Own,Married,Close,119800,2,Medium,24,209
Old,Male,Own,Single,Close,58700,0,None,24,147.9
Middle,Female,Own,Married,Close,76700,2,Medium,6,53.4
Middle,Male,Own,Married,Close,67600,1,Medium,18,117.2
Middle,Male,Own,Single,Close,61500,2,Medium,24,96.8
Old,Female,Own,Married,Close,72900,0,High,6,75.3
Old,Female,Rent,Single,Close,21200,0,Low,6,24.2
Old,Male,Rent,Single,Close,32400,1,Low,12,51.5
Middle,Female,Own,Married,Close,62200,3,None,24,211.9
Old,Female,Own,Single,Close,24400,0,Low,6,49.1
Middle,Male,Own,Married,Close,66500,3,Low,12,28.6
Old,Female,Rent,Married,Far,72200,0,High,24,306.9
Young,Female,Rent,Single,Close,16900,2,None,6,28.1
Young,Male,Rent,Married,Close,56300,0,None,24,160.8
Old,Female,Own,Single,Far,22000,0,Medium,12,73.6
Young,Female,Rent,Single,Close,18800,2,Low,18,17
Young,Female,Rent,Single,Close,26600,2,Low,24,24.5
Middle,Female,Rent,Married,Close,72100,0,High,24,305.2
Middle,Male,Own,Single,Far,55600,0,High,18,178.6
Young,Female,Rent,Single,Close,14600,3,Low,6,4.7
Old,Male,Own,Married,Close,45900,0,Medium,24,164.5
Young,Female,Own,Single,Close,15100,0,Low,6,27.4
Middle,Male,Own,Married,Close,140700,3,Medium,12,100.1
Middle,Male,Own,Married,Close,90300,0,High,24,194.4
Old,Male,Own,Married,Close,95900,0,High,24,258.5
Young,Male,Rent,Single,Far,20800,0,None,6,26
Middle,Male,Own,Married,Close,98400,0,High,12,141.4
Young,Female,Rent,Single,Close,15000,2,None,12,34.1
Young,Male,Rent,Single,Close,17700,1,Low,12,26.8
Middle,Male,Own,Married,Close,102400,1,High,18,123.7
Young,Male,Rent,Single,Far,17800,1,None,18,58.9
Young,Male,Rent,Single,Far,13800,1,Low,12,36.8
Middle,Female,Rent,Single,Close,50500,1,Medium,12,94
Middle,Female,Rent,Single,Close,42000,3,Low,18,23.2
Middle,Male,Own,Married,Close,95800,3,Low,12,67.8
Young,Male,Rent,Single,Close,15200,0,None,12,32.4
Young,Male,Rent,Single,Close,15800,2,Low,12,14.7
Old,Male,Own,Single,Close,51400,0,None,6,69.4
Old,Female,Rent,Married,Close,38200,0,Medium,6,52.6
Middle,Female,Rent,Single,Close,39900,1,Low,12,58.6
Young,Female,Own,Single,Close,21600,2,None,12,49.1
Old,Female,Own,Married,Close,65900,0,High,24,143.6
Middle,Female,Own,Married,Close,97500,1,High,12,128
Middle,Male,Rent,Married,Far,63000,0,High,18,210.7
Young,Female,Own,Single,Far,31900,0,None,12,86
Middle,Female,Rent,Single,Far,45500,1,None,18,162.4
Old,Female,Own,Single,Close,12800,0,None,12,23
Old,Female,Own,Married,Far,12600,2,Low,12,16.4
Middle,Male,Rent,Single,Close,50700,3,Low,6,15.7
Young,Female,Rent,Single,Close,17900,3,Low,6,6.2
Young,Female,Rent,Single,Close,14400,1,Low,18,22.3
Old,Female,Own,Single,Close,23800,0,Low,6,43.8
Middle,Male,Own,Married,Close,84700,3,None,24,270.5
Middle,Female,Rent,Single,Close,36900,1,Low,6,37.1
Old,Female,Own,Single,Close,20600,0,Low,6,20.1
Young,Male,Rent,Married,Close,41500,0,None,24,121.3
Middle,Male,Own,Married,Close,83100,2,Medium,6,58.6
Middle,Male,Own,Married,Far,88700,2,High,24,269.3
Old,Female,Own,Married,Close,54700,0,Medium,24,140.4
Middle,Male,Own,Single,Close,68900,2,None,18,278.4
Young,Female,Rent,Single,Close,22200,2,Low,18,27.5
Middle,Female,Own,Married,Close,70900,1,Medium,12,79.4
Middle,Male,Own,Single,Close,55900,0,Medium,12,96.4
Middle,Female,Own,Married,Close,80800,1,None,18,159.8
Middle,Male,Own,Married,Far,100600,3,High,24,283.8
Old,Female,Own,Single,Close,39900,0,None,6,61.9
Young,Female,Rent,Married,Close,71200,3,Low,12,39.2
Old,Female,Own,Married,Close,61000,0,None,18,185
Old,Male,Own,Single,Close,38700,0,None,24,150.6
Middle,Male,Own,Married,Far,98900,0,None,18,312.6
Middle,Male,Own,Single,Close,64300,0,None,6,132.5
Middle,Female,Own,Married,Close,75600,0,None,12,154.1
Young,Female,Rent,Married,Far,53700,0,High,24,249.1
Middle,Male,Own,Single,Close,66600,0,High,18,117.7
Old,Female,Own,Married,Close,89000,0,High,12,148.7
Young,Female,Rent,Single,Far,18200,2,Low,12,32.2
Young,Female,Rent,Married,Close,73600,1,Medium,6,64.7
Middle,Female,Rent,Single,Far,45600,0,High,12,132.2
Young,Male,Own,Married,Close,73000,0,None,6,153.4
Young,Male,Own,Single,Close,29600,3,None,12,58.3
Middle,Male,Rent,Married,Close,92900,1,None,6,170.5
Old,Female,Rent,Single,Far,13900,0,Low,6,19.1
Young,Male,Rent,Married,Close,64300,3,Low,6,23.9
Middle,Male,Own,Married,Close,77100,2,Medium,6,56.8
Young,Female,Own,Single,Close,27500,3,None,12,57.1
Old,Male,Rent,Married,Close,81800,0,High,6,91.9
Old,Female,Rent,Married,Close,41700,0,Medium,18,139.8
Old,Female,Own,Married,Close,51000,0,Medium,12,102.5
Middle,Male,Rent,Single,Close,55900,1,Medium,12,90.9
Young,Male,Rent,Single,Close,19800,2,Low,12,20.9
Young,Male,Rent,Single,Close,17600,0,None,6,24.5
Middle,Male,Rent,Married,Far,84100,1,High,24,236.2
Middle,Male,Own,Married,Close,85600,0,High,24,338
Young,Male,Rent,Single,Close,13400,0,Low,18,42.4
Young,Female,Rent,Married,Far,47200,1,Medium,12,127.2
Middle,Male,Own,Married,Close,96300,1,High,24,190.9
Middle,Male,Own,Married,Close,60500,3,Low,12,34
Middle,Female,Own,Single,Close,35800,1,None,24,135.5
Middle,Male,Rent,Married,Close,106100,3,Low,12,47.2
Young,Male,Rent,Single,Close,18000,0,Low,12,30.3
Middle,Male,Rent,Single,Far,50000,1,None,6,107.9
Old,Female,Own,Single,Close,58200,0,Medium,18,98.1
Young,Female,Rent,Single,Far,13500,2,Low,12,16
Middle,Female,Own,Married,Close,59900,1,None,6,61.3
Young,Female,Rent,Single,Far,18400,1,Low,12,66.2
Middle,Male,Rent,Married,Close,62800,3,Low,6,17.7
Middle,Male,Rent,Single,Close,70000,0,High,6,78.5
Young,Female,Rent,Single,Far,13600,1,None,18,34.9
Middle,Female,Rent,Married,Close,97400,3,Low,6,21.3
Old,Female,Own,Married,Far,37500,0,Medium,18,157.8
Old,Female,Own,Single,Close,22800,0,Low,6,25.8
Young,Female,Rent,Single,Close,14200,0,None,6,19.2
Young,Male,Rent,Single,Close,18700,0,Low,12,28.9
Middle,Male,Own,Married,Close,107400,1,High,24,182.1
Young,Female,Rent,Single,Far,28900,0,Medium,24,90.5
Middle,Male,Rent,Married,Close,38400,2,Low,6,18.8
Middle,Male,Rent,Single,Close,54200,0,None,18,140.5
Old,Male,Own,Married,Close,102700,0,None,18,238.1
Young,Female,Rent,Single,Close,13300,1,Low,6,18.4
Middle,Male,Own,Single,Close,60200,3,None,12,136.4
Young,Male,Rent,Single,Close,21400,0,None,12,41.4
Young,Female,Rent,Single,Close,21700,2,None,6,38.7
Young,Male,Rent,Single,Close,23200,1,Low,24,50.4
Middle,Male,Own,Married,Close,64800,2,Medium,12,57.4
Middle,Male,Rent,Single,Close,55600,0,Medium,6,98.4
Middle,Male,Own,Married,Far,89500,0,High,24,520.9
Young,Female,Rent,Single,Far,12500,1,None,12,42.2
Middle,Male,Own,Married,Close,87000,0,High,24,159.4
Middle,Female,Rent,Single,Far,31200,3,None,24,108.7
Young,Female,Rent,Single,Close,13700,1,None,6,16.3
Middle,Male,Own,Single,Close,55500,3,Low,18,42.7
Middle,Female,Rent,Single,Close,58600,1,Medium,6,62.4
Young,Female,Own,Married,Far,55900,1,None,6,78.8
Young,Female,Rent,Single,Far,13700,2,None,24,41.4
Old,Female,Own,Married,Far,81400,0,High,24,300.1
Old,Female,Own,Married,Close,90500,0,High,6,86.3
Middle,Female,Own,Married,Close,82200,1,None,12,151.7
Middle,Male,Own,Married,Far,65400,3,None,6,83.6
Middle,Male,Own,Single,Close,74400,0,High,12,115.2
Young,Male,Rent,Married,Far,63300,3,None,6,140.8
Young,Male,Rent,Married,Far,51600,0,None,12,108.2
Young,Male,Rent,Married,Far,55000,0,None,12,116.2
Middle,Female,Own,Single,Close,43900,2,Low,6,35.8
Young,Female,Own,Single,Close,20300,1,Low,12,30.4
Young,Female,Own,Single,Far,16300,0,None,12,36
Middle,Male,Own,Married,Close,97600,2,Medium,12,116.2
Old,Female,Rent,Single,Far,15100,0,Low,6,34.8
Young,Female,Rent,Single,Close,12500,3,None,12,20.6
Young,Female,Rent,Single,Close,10600,2,Low,12,11.4
Middle,Female,Own,Single,Close,41300,1,None,18,93.2
Young,Female,Own,Single,Close,27200,2,Low,18,44.6
Middle,Male,Own,Married,Close,102400,1,None,12,246.6
Young,Female,Own,Single,Far,27900,1,None,12,57.6
Old,Male,Rent,Married,Far,23800,0,None,12,42.8
Middle,Male,Own,Married,Close,100000,1,High,24,224.7
Middle,Female,Rent,Married,Far,43300,3,Medium,24,71.6
Middle,Male,Own,Married,Close,65800,1,None,12,101.7
Middle,Female,Own,Married,Close,49700,2,Low,18,61.3
Middle,Female,Rent,Married,Close,82300,2,Medium,12,58
Middle,Male,Rent,Single,Close,41200,0,Medium,12,84.1
Young,Male,Rent,Single,Close,29200,0,Low,18,73.7
Middle,Female,Own,Single,Close,51900,2,None,12,116.2
Middle,Female,Own,Married,Close,85500,2,Medium,18,89.5
Young,Female,Rent,Single,Far,12400,3,Low,18,20.5
Middle,Female,Own,Married,Close,111900,1,None,12,234
Middle,Female,Rent,Single,Close,40400,1,Low,24,63
Young,Male,Rent,Single,Far,10900,0,Low,24,40.7
Middle,Male,Own,Married,Close,82400,3,None,18,212.2
Young,Female,Rent,Single,Close,13200,1,Low,12,22.7
Middle,Male,Rent,Single,Close,57800,0,Medium,24,114.9
Old,Female,Own,Married,Close,52200,1,Medium,12,66.9
Middle,Male,Rent,Married,Far,64600,2,None,24,293.5
Middle,Female,Own,Single,Close,43100,0,None,24,144.4
Old,Female,Own,Married,Far,40100,0,Medium,12,138.4
Old,Male,Own,Married,Close,84500,0,None,12,155.7
Old,Male,Rent,Married,Close,34500,0,Medium,12,80.2
Young,Female,Rent,Married,Close,61000,1,None,18,161.1
Old,Female,Own,Married,Far,79300,0,None,12,204.7
Middle,Male,Rent,Single,Close,44500,0,Medium,24,117.5
Young,Male,Rent,Married,Close,39700,0,Medium,18,101.1
Old,Female,Own,Single,Close,30300,0,Low,18,106.2
Young,Female,Rent,Single,Close,20100,1,Low,12,27.1
Old,Male,Own,Married,Far,86500,0,High,24,269
Old,Female,Rent,Single,Close,42500,0,Medium,24,91.8
Middle,Male,Own,Married,Close,102300,0,High,24,243.8
Middle,Female,Own,Single,Far,52600,2,Medium,12,130.7
Middle,Female,Rent,Single,Far,37800,2,None,12,118.5
Young,Female,Rent,Single,Close,20300,2,Low,12,18
Middle,Male,Own,Married,Close,71600,1,None,12,119.8
Young,Male,Rent,Married,Close,54500,1,Medium,18,100.1
Middle,Male,Rent,Single,Close,54700,0,Medium,24,135.5
Middle,Male,Rent,Single,Far,58600,2,None,6,98.9
Middle,Male,Rent,Single,Far,53800,0,High,12,180.3
Middle,Female,Own,Married,Close,131500,3,None,6,284
Middle,Male,Rent,Single,Far,52200,0,High,24,190.9
Young,Male,Rent,Married,Close,37200,1,Low,6,24.7
Young,Male,Rent,Single,Far,22900,1,None,12,81.4
Young,Male,Rent,Married,Close,55500,3,Low,12,21.6
Young,Female,Rent,Single,Far,12800,1,None,24,36.5
Young,Female,Rent,Single,Close,17600,2,Low,18,16.3
Old,Female,Own,Single,Far,28300,0,Medium,24,93.3
Old,Male,Own,Single,Close,41900,0,Medium,6,65.4
Young,Female,Rent,Single,Close,14100,3,None,6,15.3
Middle,Male,Rent,Single,Close,52100,0,None,12,166.8
Middle,Male,Rent,Single,Far,38700,1,Medium,18,100.9
Middle,Female,Rent,Single,Far,44100,1,Medium,18,165.9
Middle,Male,Own,Married,Far,79200,1,High,6,190.5
Young,Female,Rent,Single,Close,22600,3,None,6,52.1
Middle,Male,Rent,Single,Close,55100,2,None,6,82.6
Old,Female,Own,Married,Far,70400,0,High,18,261
Middle,Male,Own,Married,Close,107300,2,Medium,24,119.4
Middle,Female,Rent,Married,Close,66500,1,None,24,118.1
Young,Male,Rent,Single,Close,10200,0,None,24,36.2
Young,Female,Own,Single,Far,41000,1,Medium,12,76.8
Middle,Female,Rent,Single,Close,26200,1,Low,12,38.1
Middle,Male,Rent,Married,Far,72200,3,Medium,18,181.1
Middle,Male,Rent,Single,Far,36700,1,Medium,24,121.8
Old,Male,Own,Married,Far,74500,0,None,18,141.3
Middle,Female,Own,Single,Close,60200,1,None,12,174.8
Old,Male,Rent,Single,Close,34500,0,Medium,24,63.9
Old,Female,Own,Married,Close,83700,0,High,18,158.2
Young,Male,Rent,Single,Far,14800,1,None,12,37.6
Middle,Male,Own,Married,Close,106400,0,None,12,175.7
Young,Female,Rent,Married,Close,42000,3,Low,6,10.5
Middle,Male,Rent,Married,Close,118800,0,High,12,263.1
Young,Female,Own,Single,Far,21900,2,Low,24,48.6
Middle,Male,Rent,Single,Close,39500,1,None,6,41.2
Middle,Male,Rent,Single,Close,45900,0,Medium,12,71.6
Young,Female,Rent,Married,Close,37100,2,Low,24,65.3
Middle,Female,Rent,Single,Close,28200,1,Low,6,22.4
Middle,Male,Rent,Married,Close,74600,2,Medium,18,70.5
Middle,Male,Own,Married,Close,122700,1,None,18,498.4
Young,Female,Rent,Single,Close,14200,2,Low,18,19.7
Middle,Male,Own,Married,Far,75500,0,None,18,245
Middle,Male,Own,Single,Close,62900,0,None,24,256.1
Young,Male,Rent,Single,Far,19400,0,Low,6,56.3
Middle,Female,Rent,Single,Close,46600,0,None,12,54.6
Middle,Male,Own,Married,Far,79700,1,High,24,338.4
Middle,Male,Own,Single,Close,45900,2,Low,12,41.6
Old,Female,Own,Married,Close,42800,0,Medium,6,68.5
Old,Male,Own,Married,Far,65500,0,High,24,193.1
Old,Female,Rent,Single,Close,33600,0,Medium,12,57.3
Middle,Female,Own,Single,Far,55600,1,High,18,155.3
Young,Female,Rent,Single,Close,24000,2,None,6,36.2
Young,Male,Rent,Single,Far,25700,0,Medium,18,90.7
Old,Female,Own,Married,Close,21500,0,Low,18,44.5
Old,Female,Rent,Married,Close,68600,0,High,18,134.2
Young,Female,Rent,Single,Far,23100,2,Low,12,45.7
Middle,Female,Rent,Married,Close,53300,0,Medium,24,159.8
Old,Female,Own,Married,Close,112800,0,High,12,186.1
Old,Male,Own,Married,Close,124900,0,High,18,410.9
Middle,Female,Own,Single,Close,72200,0,None,18,327.8
Middle,Male,Rent,Single,Close,35100,1,Low,6,42.1
Old,Female,Rent,Single,Close,14900,0,None,12,27.5
Middle,Male,Rent,Single,Close,72000,0,High,12,147.5
Middle,Male,Own,Married,Close,82400,0,High,18,177.9
Young,Male,Rent,Married,Close,41600,3,None,24,163.4
Middle,Female,Own,Married,Close,68500,2,None,12,150
Young,Male,Own,Married,Close,62200,0,High,24,134.8
Old,Female,Own,Single,Close,35900,0,None,12,96.2
Young,Male,Rent,Single,Close,14100,0,Low,12,32.8
Young,Female,Rent,Married,Close,36500,1,None,18,74.7
Middle,Female,Own,Married,Close,86400,1,High,12,171.3
Old,Female,Rent,Married,Close,39500,0,Medium,12,100.6
Old,Male,Own,Married,Close,85300,0,None,12,252.3
Old,Female,Own,Married,Close,110700,0,High,12,245.8
Young,Male,Rent,Single,Far,17700,0,Low,18,74.2
Young,Female,Rent,Married,Far,33200,1,None,24,163.9
Middle,Female,Own,Single,Close,53800,0,Medium,12,84.3
Old,Male,Rent,Single,Close,44400,0,Medium,18,88.6
Middle,Female,Rent,Married,Close,135700,1,High,24,274.6
Young,Female,Rent,Single,Far,20700,1,Low,12,55
Middle,Male,Rent,Married,Far,83500,2,High,24,209.8
Middle,Female,Rent,Married,Close,84200,2,Medium,24,95.4
Middle,Female,Rent,Married,Close,79900,1,Medium,12,104.1
Old,Female,Rent,Single,Far,19700,0,Low,6,53.5
Middle,Female,Rent,Single,Close,35300,0,None,18,136.9
Old,Male,Own,Married,Far,52000,0,High,18,254.5
Young,Male,Rent,Single,Close,21300,1,None,12,32.9
Middle,Male,Own,Single,Close,63700,0,None,6,135.1
Old,Female,Own,Married,Close,25900,0,Low,18,58.2
Middle,Male,Rent,Married,Close,65800,2,Medium,18,57.8
Old,Female,Rent,Single,Close,11000,0,None,24,19.5
Old,Female,Rent,Married,Close,65900,0,High,12,77.7
Middle,Female,Own,Married,Close,108100,1,High,12,113.3
Middle,Male,Own,Married,Close,107300,2,Medium,18,156.6
Middle,Female,Rent,Married,Close,79500,0,High,12,165.1
Middle,Female,Rent,Married,Close,95900,0,None,24,316.8
Middle,Male,Rent,Single,Close,45200,1,Medium,18,69.9
Middle,Male,Own,Married,Close,98500,0,High,18,203.4
Old,Female,Own,Married,Close,96200,0,High,12,145.7
Young,Male,Rent,Single,Close,17900,0,None,18,39.5
Middle,Male,Own,Married,Close,42700,0,Medium,6,54.1
Middle,Male,Own,Single,Far,49700,0,High,24,284.4
Middle,Female,Rent,Single,Close,43000,3,Low,24,22.5
Young,Female,Rent,Single,Close,15500,1,Low,6,21
Young,Male,Rent,Single,Close,13000,3,Low,6,4.3
Middle,Female,Rent,Single,Close,27200,3,Low,24,24.3
Old,Female,Own,Married,Close,26700,0,Low,24,112
Old,Male,Own,Single,Far,61000,0,High,6,97.5
Middle,Female,Own,Married,Close,76600,3,None,24,290.4
Middle,Male,Own,Married,Close,117500,2,Medium,12,92.7
Old,Male,Own,Married,Close,90600,0,High,24,316.7
Young,Female,Rent,Single,Far,12600,0,Low,6,24.1
Old,Female,Own,Single,Close,12700,2,Low,6,6.5
Middle,Female,Own,Married,Far,77600,3,Medium,12,85.8
Middle,Female,Rent,Married,Far,92400,1,None,6,219.1
Old,Female,Rent,Married,Close,71800,0,High,24,194.6
Middle,Male,Own,Married,Far,95800,3,None,12,258.1
Young,Female,Own,Single,Close,32600,3,Low,12,17.2
Middle,Male,Own,Married,Close,74500,2,Medium,12,82.4
Old,Female,Rent,Single,Close,29200,0,Low,12,55.6
Young,Female,Rent,Single,Far,12900,1,Low,6,16.7
Middle,Male,Rent,Married,Close,117700,1,High,12,210.4
Middle,Female,Own,Married,Close,64100,1,Medium,18,133.2
Middle,Female,Rent,Single,Close,46500,1,Medium,24,82.9
Young,Female,Rent,Single,Close,12400,1,None,12,22.9
Middle,Male,Own,Married,Far,130600,0,High,18,344.2
Middle,Male,Own,Married,Far,74400,0,High,6,189.3
Old,Female,Own,Single,Far,40600,2,Medium,6,69
Young,Female,Rent,Married,Close,54200,1,Medium,6,48.6
Middle,Male,Own,Single,Far,65400,1,High,12,229
Middle,Male,Rent,Single,Close,49100,0,None,6,93.4
Young,Female,Rent,Single,Close,10600,2,None,24,51.7
Young,Female,Rent,Married,Close,76400,0,None,12,221.6
Middle,Female,Rent,Married,Close,93700,1,High,24,152.1
Middle,Male,Rent,Single,Far,49000,0,High,18,152.3
Middle,Female,Own,Married,Close,96500,1,High,18,136.4
Middle,Male,Own,Single,Close,55600,0,None,12,95.2
Middle,Male,Own,Married,Close,99600,1,High,6,87.1
Middle,Female,Own,Married,Close,79900,3,Low,12,29.5
Old,Female,Rent,Married,Close,50500,0,Medium,12,64.2
Old,Female,Own,Single,Far,16300,0,Low,6,31.7
Old,Female,Own,Married,Close,49200,0,Medium,12,107.8
Middle,Male,Own,Single,Far,48100,2,Medium,18,96.1
Middle,Male,Own,Single,Far,61300,2,High,24,124.1
Middle,Female,Own,Married,Close,72600,1,None,18,199.9
Young,Male,Rent,Single,Far,19500,0,None,24,57.1
Young,Female,Rent,Single,Close,17200,1,None,12,32.9
Middle,Male,Rent,Single,Far,51100,0,High,24,198.4
Middle,Male,Own,Single,Close,76800,1,Medium,18,106.1
Middle,Male,Own,Single,Far,60200,0,High,12,195.5
Middle,Male,Rent,Single,Close,59100,2,Low,18,58
Old,Female,Own,Single,Close,32500,0,Medium,24,88.3
Middle,Female,Rent,Single,Far,49500,2,Medium,12,119.5
Middle,Male,Own,Married,Close,109600,1,High,12,231.8
Young,Female,Rent,Married,Close,47300,0,None,6,64
Middle,Male,Rent,Married,Close,93000,1,High,24,264.4
Young,Female,Own,Single,Far,32000,1,None,24,132
Young,Female,Own,Single,Close,44700,1,Medium,6,50.2
Old,Female,Own,Married,Close,69400,0,High,18,241.9
Middle,Male,Own,Married,Close,64300,2,Medium,6,66.1
Middle,Male,Own,Single,Far,75400,0,High,24,272.3
Middle,Male,Own,Married,Close,96100,0,High,6,158.8
Old,Female,Own,Married,Close,118000,3,Low,12,58.1
Young,Male,Rent,Married,Close,69700,1,Medium,12,143.2
Old,Male,Own,Single,Close,59300,0,Medium,12,92.9
Middle,Female,Rent,Married,Close,88600,3,Low,6,21.2
Middle,Male,Own,Married,Close,102600,0,High,18,254.6
Middle,Male,Rent,Single,Close,43700,0,None,18,134.4
Old,Female,Own,Married,Close,22400,0,None,24,94.7
Middle,Male,Rent,Married,Far,70500,1,None,24,214.5
Middle,Male,Own,Married,Close,54200,1,Medium,6,75.7
Middle,Female,Own,Single,Far,25300,1,None,6,45.1
Old,Male,Own,Married,Close,116100,1,High,24,297.5
Young,Female,Rent,Single,Close,15900,0,None,18,40.6
Middle,Female,Own,Single,Close,46600,3,Low,6,15.8
Young,Male,Own,Single,Close,23200,0,None,24,53.4
Young,Male,Rent,Single,Close,18200,0,Low,12,40.1
Middle,Female,Own,Married,Close,82700,1,High,18,175.3
Young,Female,Rent,Single,Close,17000,0,Low,18,65.9
Middle,Male,Own,Married,Close,83000,2,Medium,6,72.6
Young,Female,Own,Married,Close,42400,1,None,18,116.6
Old,Male,Own,Single,Close,40200,2,None,18,119.7
Young,Female,Rent,Single,Far,17300,0,Low,6,41.1
Middle,Female,Own,Married,Close,109800,1,High,24,225.8
Middle,Female,Own,Single,Far,64400,3,Medium,24,191.3
Young,Female,Rent,Single,Far,27600,1,Medium,24,89.3
Young,Female,Rent,Single,Close,25100,1,None,6,42.1
Middle,Female,Own,Single,Close,46300,3,None,6,113.8
Old,Female,Own,Married,Far,74900,0,None,12,180.4
Middle,Male,Own,Single,Close,67900,0,High,18,141.8
Middle,Male,Rent,Married,Close,88500,2,Medium,24,110.4
Middle,Male,Own,Married,Close,99200,3,None,12,279.6
Old,Female,Own,Married,Close,62800,0,High,18,140.3
Old,Male,Own,Married,Far,76900,2,High,24,323
Middle,Male,Own,Married,Close,84100,3,None,6,135.2
Old,Female,Own,Married,Close,77600,0,High,18,200.4
Young,Female,Rent,Single,Close,19100,1,Low,18,40.3
Old,Female,Own,Married,Far,128700,0,High,24,399.5
Young,Female,Rent,Single,Far,14400,1,Low,6,39
Old,Male,Rent,Married,Close,49600,0,Medium,6,77
Middle,Female,Rent,Single,Close,47000,0,None,6,96.3
Young,Female,Rent,Married,Close,36600,0,Medium,6,83.3
Middle,Female,Own,Single,Close,65800,1,Medium,12,86.9
Middle,Male,Rent,Married,Far,52800,2,Medium,12,92.6
Middle,Male,Own,Married,Close,96500,0,High,24,378
Middle,Female,Rent,Married,Close,63500,1,Medium,18,102.3
Middle,Male,Rent,Single,Close,60400,1,Medium,6,79.1
Middle,Male,Own,Married,Close,102700,3,None,12,147.3
Middle,Male,Own,Married,Close,100100,2,None,6,159.7
Middle,Male,Rent,Single,Close,54400,0,Medium,6,115
Middle,Male,Rent,Married,Close,105600,3,Low,6,30.4
Old,Female,Own,Married,Far,57900,0,High,12,169.3
Young,Male,Own,Single,Close,31500,3,Low,18,26.9
Middle,Female,Rent,Married,Far,60100,1,High,18,143
Middle,Male,Rent,Married,Close,87400,2,None,18,272.9
Middle,Male,Own,Married,Close,117900,0,High,6,176
Middle,Male,Own,Single,Close,48800,1,Medium,24,127.1
Middle,Female,Own,Married,Close,67900,3,Low,12,35.6
Old,Male,Rent,Married,Far,66200,0,None,6,102.4
Middle,Male,Rent,Married,Close,88000,2,Medium,6,52.4
Middle,Male,Rent,Married,Close,94200,1,High,18,121.1
Young,Female,Rent,Single,Close,29200,3,None,6,63.6
Young,Male,Rent,Single,Far,15300,0,Low,24,64.5
Young,Male,Rent,Single,Far,17500,0,Low,18,47.2
Old,Male,Own,Married,Close,168800,0,High,6,151.2
Middle,Male,Rent,Single,Far,40200,0,High,18,163.4
Young,Male,Rent,Single,Close,28400,3,Low,18,18.2
Middle,Male,Rent,Married,Far,72200,3,Medium,18,104.2
Middle,Female,Own,Single,Far,55200,0,High,18,171.4
Middle,Female,Rent,Single,Close,44600,0,Medium,18,96.6
Middle,Male,Own,Single,Close,58400,0,Medium,12,82.9
Middle,Female,Own,Single,Close,67800,1,Medium,6,68
Old,Female,Own,Single,Close,25500,0,Low,18,63.6
Young,Female,Rent,Single,Far,20000,3,Low,6,18.2
Middle,Male,Rent,Single,Far,52600,1,None,18,177.3
Middle,Male,Rent,Married,Far,97600,1,None,12,290.2
Old,Male,Own,Married,Close,23400,0,Low,6,34.8
Middle,Female,Own,Married,Close,102500,3,Low,12,54.8
Middle,Female,Own,Married,Far,52300,1,High,18,203.4
Middle,Male,Rent,Single,Far,65400,0,High,12,229.6
Young,Male,Rent,Single,Close,19600,0,Low,12,39.5
Old,Male,Own,Married,Far,37000,0,Medium,12,85
